"Original Name","Normalized Name"
"Sterling Rd./Metrolog. De",
"Sterling Road",
"St Thomas Mount",
"St Thomas Mount Po",
"St Thomas Mount R.S",
"Sulerikadu",
"Sumenthiramedu Koot Road",
"Sundarasozhapuram",
"Sunguvarchathiram",
"Sunnambu Kalvoy",
"Sunnambu Kolathur",
"Sun Theater",
"Surapedu",
"T.Acharavakkam",
"Tamaraipakkam",
"Tamaraipakkam Rd.Jn.",
"Tamarind Tree",
"Tambaram",
"Tambaram East",
"Tambaram Town Limit",
"Taramani",
"Taylors Road",
"Tb Hospital",
"T.B.Institute",
"T.B.Sanatorium",
"Teachers Colony",
"Telegraph Office",
"Thailapuram",
"Thalambur",
"Thambuchetty St",
"Thandalacheri",
"Thandalam",
"Thandalam Koot Road",
"Thandalam Rd Jn.",
"Thandalam Village",
"Thandarai",
"Thangal",
"Thani Poondi",
"Thanthoni Amman Nagar",
"Tharatchi Colony",
"Thatchur Koot Road",
"Thathanmanji",
"Thazhambedu",
"Thazhankuppam",
"Theagaraya College",
"Therasapuram",
"Theveripakkam",
"Theyampakkam",
"Thillai Ganga Nagr Iind M",
"Thillaiganga Nag Sub.3Rdm",
"Thirumalisai",
"Thirumangalam",
"Thirumudivakkam",
"Thirumullaivoayl",
"Thiruneermalai",
"Thirunillai Rd.Jn.",
"Thirunindravoor",
"Thirunindravoor P.U.O.",
"Thirunindravoor Rly.Stn.",
"Thirupalaivanam",
"Thirupatchur",
"Thirupporur",
"Thirusoolam National Airp",
"Thiruthuveli",
"Thiruvallur",
"Thiruvanmiyur",
"Thiruvedanthai",
"Thiruvengadapuram",
"Thiruverkadu",
"Thiruvetriyur B.S","Thiruvetriyur Bus Stand"
"Thiruvotriyur Temple",
"Thommaram Bedu",
"Thorappakkam P.T.C Colony",
"Thorappakkam Tea Shop",
"Thozhudur",
"Thruvotriyur Temple",
"Thumbakkam",
"T.Nagar",
"T.Nagar",
"T.N.C.F",
"Tollgate",
"Tollgate(Sathiavedu Koot",
"Tondaiayrpet",
"Travellers Bangalow",
"Triplicane",
"Triplicane O.T (Corpn. Sc",
"Trustpuram",
"Tsr Rajalakshmi Nagar",
"T.V.K.Nagar",
"T.V.S",
"T.V.T Rly Gate",
"U.Mandaveli",
"Univercity Club",
"Uppalayam",
"Uppara Palayam",
"U.S.I.S.",
"Uthamar Gandhisalai (Corp",
"Uthandi Village",
"Uthukkottai",
"Vaanagaram",
"Vadamadurai",
"Vadamadurai Kandigai",
"Vadamangalam Koot Road",
"Vadanemili",
"Vadapalani B.S","Vadapalani Bus Stand"
"Vadapalani Jn.","Vadapalani Junction"
"Vadapalani P.S","Vadapalani Police Station"
"Vadaperumbakkam",
"Vadhattur Jn.",
"Valarpuram",
"Valasaravakkam",
"Vallakkottai",
"Vallam",
"Valliyur School",
"Valluvarkottam",
"Vandaloor",
"Vandaloor Rd.Jn",
"Vandaloor R.G/Manivakkam",
"Vandaloor Zoo",
"Vanjivanchery",
"Vanuvambedu",
"Varadaraja Puram",
"Varadharaja Theater",
"Varanavasi",
"Vasanthi Amman Koil",
"Vattambakkam",
"Vayalur",
"Vayalur Cross Road",
"Vazhuthalambedu",
"Vazhuthalambedu Rd. Jn",
"Vazhuthunaimedu",
"Veenus",
"Veerabadra Nagar",
"Veerapuram",
"Veerapuram Rd Jn.",
"Velachery",
"Velachery Hospital",
"Velachery Vijaya Nagar",
"Velangadupakkam",
"Velappanchavadi",
"Vellaikal",
"Vellavedu",
"Vembakkam",
"Vembedu",
"Vengadu Koot Road",
"Vengaivasal P.H.Centre",
"Vengaivasal Rd.Jn.",
"Vengal",
"Vengal Cross Road",
"Vengambakkam",
"Vengambakkam Rd Jn.",
"Vengambakkam Village",
"Vengatapuram",
"Vengoor Junction",
"Venkatamangam",
"Venkathakulam",
"Venkathur",
"Veppampattu",
"Veppampattu Eswaran Nagar",
"Veppampattu R.S.",
"Veppumpattu Puliyamaram",
"Verkadu",
"Veterinary Hospital",
"Veterinary Hospital/Prdct",
"Vettuvankanni",
"V.House",
"V.House P.S",
"V.House Terminus",
"Vichoor",
"Victoria Teachers Colony",
"Vidyodaya",
"Vijaya Nagar",
"Vilambakkam",
"Vilinjambakkam Amman Koil",
"Villivakkam",
"Vinayagapuram",
"Vinayagar Koil",
"Virugambakkam",
"Vishnuvakkam",
"Vivek & Co (Krishnan Koil",
"V.M.Street",
"V. Nagar",
"V.S.B.Garden",
"Vyasarpadi",
"Wallajabath",
"Water Pipe Thanthankuppam",
"Water Supply Head Work",
"Weels India Rd.Jn.",
"Wesley H.S",
"Women'S Polytechnic",
"Y.M.I.A",
